sample,min,0,5,10,15,20,25,30,35,40,45
6,0,9.910656351641622,9.895035780335082,10.036206083953223,10.087656806767349,10.223182006155593,10.158887704222249,10.058243380574645,9.924628784179736,10.017777463906787,9.889941702758323
7,0,9.890643299369579,9.854088723125434,10.08019250449431,9.821914599790306,9.890224957831457,10.091409911120637,9.937497662109859,10.102618618677205,10.015449477037926,9.928619091668446
8,0,9.941932461324328,10.03511481165483,10.183870045847407,10.077348090171894,9.96319335229336,10.024198371343033,10.039090111617751,10.043372998240772,9.999402203754592,10.120324416347197
9,0,10.121141165724294,9.875654515275269,9.961699496854536,10.052618984131477,9.948576519110441,10.013925310767503,9.950292332847198,10.008918789445307,9.951581923391718,9.932265434695195
10,0,10.033849872542552,10.116223967049894,9.917232350043191,10.046589355273179,9.993408593047086,10.089402695713682,9.977761608899932,9.932297384999075,9.927884431875327,9.780883389343773
6,5,9.592654606115016,10.018254825986977,10.12738976392748,10.309776804444276,10.615931044560273,10.510855124015672,10.581385625630347,10.459052750660648,10.735375680690469,10.645578882804344
7,5,9.508082144504252,9.814174961334562,10.13641028863651,10.401182049988998,10.536942493573521,10.511287927870058,10.682378559066372,10.49474320629766,10.635380547915114,10.722735253205064
8,5,9.554380501769954,9.838486362403527,10.090602747521132,10.229918144137464,10.47273967301357,10.475252856609428,10.784172263282189,10.593510945302167,10.62019367656936,10.79716152446297
9,5,9.553244133481488,9.843982446028965,10.209854947470056,10.333961653452278,10.334323685262335,10.778603569879971,10.687536257389695,10.637864858689888,10.779771973603795,10.88821945962339
10,5,9.390949201721142,9.914902384950327,10.174634508117311,10.298854509426441,10.606470612627659,10.641753014965827,10.585214818904918,10.581839511383752,10.527909087236514,10.805142276215722
6,10,8.958239258643525,9.596805548400214,10.189022467710345,10.899649767208773,10.880745832594974,10.988054403363973,11.32392741205251,11.371051322283245,11.284705317443816,11.394478166010385
7,10,9.143428867983932,9.771910866176041,10.072920289428058,10.624984551370035,10.964244026547382,11.07368704935582,11.167907937751137,11.49468190241557,11.315490805549734,11.463743970810983
8,10,8.889631680391101,9.721841217703945,10.151120994759484,10.665678469038939,10.952026424084869,11.094063067967648,11.197862202026547,11.148701884764792,11.367220926118398,11.498978504559098
9,10,8.955281931303745,9.770844356480078,10.341138846205345,10.572787938569478,10.862062344061105,10.99032379657779,11.204408072408945,11.276267942071957,11.43500331305568,11.398817571102956
10,10,9.069128945343712,9.938317732031512,10.277774510163534,10.622121977159145,11.0158172388463,10.908555112850792,11.138568729809979,11.287553543189386,11.298160073116255,11.430475851356602
6,15,8.384833876158856,9.676922786530088,10.429620993257679,11.068973249853142,11.445137255552506,11.607417153464713,11.832715105968925,11.829910164760951,12.07735578591704,12.055786185925655
7,15,8.550742500011008,9.687646596611305,10.280756952788177,10.78374944735383,11.32313210990472,11.527271050079598,11.699240105730231,11.981329309896697,12.18425230307238,12.117526026846777
8,15,8.447339365032423,9.596188795266121,10.366938864803931,10.79308423789516,11.483950671185493,11.623894483890123,11.806304219470286,12.029429800392842,11.955149593524563,12.282005139127389
