sample,min,50,75,100
6,0,9.994832088892501,10.145005081233265,10.07723101201369
7,0,10.005941525209384,9.921264628571128,9.940482539973932
8,0,9.932267527823202,10.03541363474697,9.992948526198798
9,0,10.014295183914134,10.020547588978122,9.995566147919575
10,0,9.934778873064209,9.921959989067465,9.976897025837038
6,5,10.72017896827156,10.97894967000385,10.81897136506704
7,5,10.579684485837909,10.632085533545627,10.873162866812812
8,5,10.798990904568383,10.847604374655525,10.758232130396435
9,5,10.76393664458937,10.869611579792705,10.902764822983102
10,5,10.699241335463853,10.496419809881965,10.862577039361652
6,10,11.379769290357299,11.675659171268837,11.593659176846302
7,10,11.550427645278768,11.58184196781729,11.303918111253351
8,10,11.679025165110557,11.754824898308524,11.573375875550102
9,10,11.582641598536371,11.582140166342144,11.483080209217226
10,10,11.659760802798623,11.452204952188383,11.595043205400325
6,15,12.188331067765839,12.412592393005049,12.323280100896639
7,15,12.178586105680667,12.321008964351687,12.4328174716138
8,15,12.351337326847892,12.54845331925437,12.495214274589426
9,15,12.462844866290064,12.333063405739956,12.421565910300885
10,15,12.028076069286902,12.290425102493653,12.329819167487907
6,20,12.912299133287593,13.0870504334586,13.504492775695365
7,20,13.087370433489301,13.000501355238232,13.032857278876639
8,20,13.02660330144256,13.209676753445756,13.28532039727803
9,20,13.086876896178145,13.14480907765907,13.231668508790792
10,20,12.902432329787805,13.29724600652247,13.218566251250136
6,25,13.703547976889107,14.033019903131118,13.991099487407888
7,25,13.695775724401432,13.987725661931593,13.882999274637058
8,25,13.652353456590845,13.947251382635798,13.944963870605541
9,25,13.839237089187208,14.013807598665656,13.917406614777788
10,25,13.770362718989157,13.86276614383547,13.995614935857827
6,30,14.322587374761818,14.836802208926759,14.784524022686037
7,30,14.575282527307817,14.88655129124959,14.77460184782783
8,30,14.441072091872927,14.576998060430677,14.729257476835205
9,30,14.28293199177478,14.718806447884052,14.82486754022554
10,30,14.434623061514749,14.623048262079115,14.658863478132808
